keys,en,fr
"a small crew, a quiet parcel of wilderness","a small crew, a quiet parcel of wilderness","une petite équipe, une parcelle de nature tranquille"
"Start","Start","Commencer"
"Debug Terrain","Debug Terrain","Terrain de débogage"
"Quit","Quit","Quitter"
"WASD / arrows: pan   ·   wheel: zoom   ·   middle-drag: pan   ·   click: move   ·   space: pause   ·   R: new parcel   ·   Esc: menu","WASD / arrows: pan   ·   wheel: zoom   ·   middle-drag: pan   ·   click: move   ·   space: pause   ·   R: new parcel   ·   Esc: menu","WASD / flèches : déplacer   ·   molette : zoom   ·   clic milieu : déplacer   ·   clic : marcher   ·   espace : pause   ·   R : nouvelle parcelle   ·   Échap : menu"
"⏸ Paused — planning mode","⏸ Paused — planning mode","⏸ Pause — mode planification"
"Inventory","Inventory","Inventaire"
"%s — inventory","%s — inventory","%s — inventaire"
"Nothing carried","Nothing carried","Ne porte rien"
"No actions — click the map to move","No actions — click the map to move","Aucune action — cliquez sur la carte pour marcher"
"No actions","No actions","Aucune action"
"Mode","Mode","Mode"
"Add action","Add action","Ajouter une action"
"Idle","Idle","Inactif"
"Roaming","Roaming","En vadrouille"
"Inspect","Inspect","Inspecter"
"Rest","Rest","Se reposer"
"Gather wood","Gather wood","Ramasser du bois"
"Forage berries","Forage berries","Cueillir des baies"
"Watch the view","Watch the view","Admirer la vue"
"Tend the fire","Tend the fire","Entretenir le feu"
"Walk to","Walk to","Marcher vers"
"Climb to","Climb to","Grimper vers"
"Descend to","Descend to","Descendre vers"
"Climb up","Climb up","Grimper"
"Climb down","Climb down","Descendre"
"Photographer","Photographer","Photographe"
"Botanist","Botanist","Botaniste"
"Tracker","Tracker","Pisteur"
"Ornithologist","Ornithologist","Ornithologue"
"Activist","Activist","Militant"
"Hydrologist","Hydrologist","Hydrologue"
"Journalist","Journalist","Journaliste"
"Energy","Energy","Énergie"
"Morale","Morale","Moral"
"Angry","Angry","En colère"
"Neutral","Neutral","Neutre"
"Bored","Bored","Ennuyé"
"Happy","Happy","Heureux"
"Scared","Scared","Effrayé"
"Sad","Sad","Triste"
"Camera","Camera","Appareil photo"
"Magnifying glass","Magnifying glass","Loupe"
"Compass","Compass","Boussole"
"Binoculars","Binoculars","Jumelles"
"Megaphone","Megaphone","Mégaphone"
"Test tube","Test tube","Éprouvette"
"Smartphone","Smartphone","Smartphone"
"Card: Dead bird","Card: Dead bird","Carte : Oiseau mort"
"Card: Dead beaver","Card: Dead beaver","Carte : Castor mort"
"Card: Forbidden cut","Card: Forbidden cut","Carte : Coupe interdite"
"Card: Animal trap","Card: Animal trap","Carte : Piège"
"Card: Wounded animal","Card: Wounded animal","Carte : Animal blessé"
"Roads are responsible for millions of dead birds each year. This bird was not from an invasive species.","Roads are responsible for millions of dead birds each year. This bird was not from an invasive species.","Les routes sont responsables de millions d'oiseaux morts chaque année. Cet oiseau n'était pas une espèce invasive."
"A small body by the asphalt. Roads kill millions of birds yearly; this one belonged here.","A small body by the asphalt. Roads kill millions of birds yearly; this one belonged here.","Un petit corps au bord de l'asphalte. Les routes tuent des millions d'oiseaux chaque année ; celui-ci était d'ici."
"Hunted animals are rarely left in nature — hunters take them. A bird lying here was probably not killed by hunting.","Hunted animals are rarely left in nature — hunters take them. A bird lying here was probably not killed by hunting.","Les animaux chassés sont rarement laissés dans la nature — les chasseurs les emportent. Un oiseau gisant ici n'a probablement pas été tué par la chasse."
"Roads fragment wetlands and kill wildlife that must cross them. This beaver never made it home.","Roads fragment wetlands and kill wildlife that must cross them. This beaver never made it home.","Les routes fragmentent les zones humides et tuent les animaux qui doivent les traverser. Ce castor n'est jamais rentré."
"Found beside the pavement. Habitat cut by roads leaves beavers with nowhere safe to go.","Found beside the pavement. Habitat cut by roads leaves beavers with nowhere safe to go.","Trouvé près du bitume. L'habitat coupé par les routes ne laisse aux castors aucun refuge sûr."
"Hunted animals are generally not left in the wild. A carcass abandoned here is unlikely to be from a hunt.","Hunted animals are generally not left in the wild. A carcass abandoned here is unlikely to be from a hunt.","Les animaux chassés ne sont généralement pas laissés dans la nature. Une carcasse abandonnée ici ne vient probablement pas d'une chasse."
